,0
1692,70%
1693,86%
1694,73%
1695,74%
1696,50%
1697,2.5%
1698,19.0%
1699,22.4%
1700,20.4%
1701,1.0%
1702,-1.8%
1703,25%
1704,10%
1705,-16%
1706,90%
1707,-2%
1708,+14%
1709,25%
1710,35%
1711,11%
1712,-14%
1713,35%
1714,8%
1715,100%
1716,2%
1717,20%
1718,2%
1719,20%
1720,1.6%
1721,5.2%
1722,7.7%
1723,12.6%
1724,80%
1725,67%
1726,20%
1727,62%
1728,28%
1729,4%
1730,8.9%
1731,1%
1732,2.4%
1733,3.1%
1734,1.8%
1735,1.0%
1736,0.1%
1737,1.5%
1738,1.56%
1739,1.6%
1740,2.4%
1741,2.7%
1742,0.5%
1743,3.1%
1744,1.5%
1745,1.6%
1746,1.7%
1747,2.0%
1748,2.2%
1749,3.6%
1750,3.2%
1751,1.7%
1752,2.2%
1753,2.2%
1754,1.9%
1755,120%
1756,5.84%
1757,20%
1758,+20%
1759,20%
1760,17.2%
1761,73%
1762,7.5%
1763,100%
1764,150%
1765,4%
1766,8.19%
1767,5.84%
1768,8.24%
1769,35%
1770,20%
1771,2.5%
1772,5%
1773,5%
1774,0.57%
1775,5.8%
1776,5.3%
1777,0.4%
1778,1%
1779,100%
1780,6.36%
1781,3.71%
1782,80%
1783,3.39%
1784,100%
1785,40%
1786,32.80%
1787,10%
1788,23%
1789,14%
1790,50%
1791,2%
1792,1%
1793,10%
1794,0.1%
1795,22%
1796,2.5%
1797,0.3%
1798,2.2%
1799,8.4%
1800,1.0%
1801,0.1%
1802,12.4%
1803,40%
1804,11%
1805,5-6%
1806,4-6%
1807,10-12%
1808,80%
1809,50%
1810,70%
1811,-3.8%
1812,5%
1813,6%
1814,25-250%
1815,8%
1816,3.4%
1817,10%
1818,8.98%
1819,9.98%
1820,5.6%
1821,1.6%
1822,0.1%
1823,1.0%
1824,47%
1825,2.5%
1826,3.0%
1827,20%
1828,80%
1829,28%
1830,153%
1831,47%
1832,9%
1833,1%
1834,50%
1835,35%
1836,0.8%
1837,0.50%
1838,35%
1839,3.2%
1840,9.3%
1841,8.5%
1842,15%
1843,1.0%
1844,2.28%
1845,1%
1846,4.8%
1847,4.2%
1848,3.8%
1849,30%
1850,2.5%
1851,8%
1852,9.5%
1853,100%
1854,18.5%
1855,7.4%
1856,25%
1857,10%
1858,25%
1859,11/2%
1860,11/4%
1861,5%
1862,23%
1863,19%
1864,5%
1865,37%
1866,68%
1867,82%
1868,18%
1869,2%
1870,0.5%
1871,2.2%
1872,1.5%
1873,4%
1874,21.59%
1875,13.31%
1876,6.32%
1877,11%
1878,9%
1879,6%
1880,12%
1881,50%
1882,-0.1%
1883,0.3%
1884,0.3%
1885,0.1%
1886,80.5%
1887,80.5%
1888,80%
1889,90%
1890,20%
1891,6%
1892,-2.8%
1893,-0.9%
1894,1.9%
1895,4.7%
1896,2.0%
1897,1.7%
1898,1.9%
1899,0.3%
1900,2%
1901,100%
1902,11.9%
1903,5.8%
1904,4.1%
1905,80%
1906,80%
1907,80%
1908,50%
1909,70%
1910,40%
1911,4%
1912,2.0%
1913,.37%
1914,83%
1915,75%
1916,17%
1917,25%
1918,15.7%
1919,80%
1920,52%
1921,44%
1922,7.9%
1923,0.2%
1924,0.1%
1925,35%
1926,55.6%
1927,0.1%
1928,7.8%
1929,7.7%
1930,7.8%
1931,2%
1932,44%
1933,-3%
1934,-9%
1935,33%
1936,29%
1937,43%
1938,12%
1939,8%
1940,8.5%
1941,87%
1942,10%
1943,25%
1944,50%
1945,1.6%
1946,70%
1947,59%
1948,30%
1949,42%
1950,16%
1951,80%
1952,25%
1953,6%
1954,8%
1955,4%
1956,6%
1957,80%
1958,2.9%
1959,4.5%
1960,12.4%
1961,2.5%
1962,50%
1963,5%
1964,25%
1965,13%
1966,13%
1967,25%
1968,60%
1969,80%
1970,24%
1971,75%
1972,1%
1973,1%
1974,1%
1975,10%
1976,7%
1977,60%
1978,.53%
1979,70%
1980,75%
1981,0.5%
1982,2.4%
1983,5.4%
1984,6.7%
1985,3.99%
1986,1.3%
1987,2.5%
1988,2.1%
1989,1.5%
1990,2.6%
1991,8.24%
1992,5.9%
1993,4.5%
1994,2%
1995,20%
1996,1%
1997,6%
1998,9%
1999,98.22%
2000,28.75%
2001,3%
2002,20%
2003,28%
2004,7%
2005,0.5%
2006,2.1%
2007,35%
2008,1.6%
2009,2.46%
2010,2.60%
2011,2.6%
2012,%
2013,-2%
2014,%
2015,1.3%
2016,0.5%
2017,1.7%
2018,2%
2019,2.4%
2020,4%
2021,25%
2022,50%
2023,5%
2024,10%
2025,25%
2026,50%
2027,17.2%
2028,3.8%
2029,33.5%
2030,24.6%
2031,6.2%
2032,20.3%
2033,7.1%
2034,27.1%
2035,6.7%
2036,+2.3%
2037,+3.9%
2038,+5.0%
2039,+5.3%
2040,+1.3%
2041,+3.6%
2042,+4.8%
2043,+5.0%
2044,2%
2045,9.3%
2046,8.7%
2047,-8.9%
2048,51%
2049,8.5%
2050,10%
2051,7%
2052,8.5%
2053,8.9%
2054,9.0%
2055,1%
2056,60%
2057,2%
2058,40%
2059,1%
2060,26%
2061,55.1%
2062,4.5%
2063,25%
2064,11%
2065,25%
2066,50%
2067,5%
2068,10%
2069,25%
2070,50%
2071,42%
2072,24%
2073,31%
2074,19%
2075,9%
2076,10%
2077,13%
